"United States Senator","Write-In
Gina Bufe","Write-In
Martin Lindstedt","Write-In
Rik Combs","Write-In
Steve Price","Total"
"De Kalb","0","0","0","0","3394"
"Dent","0","0","0","0","5014"
"Douglas","0","0","0","0","5032"
"Dunklin","0","0","0","0","6220"
"Franklin","0","0","0","0","37088"
"Gasconade","0","0","0","0","5712"
"Gentry","0","0","0","0","2325"
"Greene","0","0","0","0","98011"
"Grundy","0","0","0","0","3226"
"Harrison","0","0","0","0","2736"
"Henry","0","0","0","0","7528"
"Hickory","0","0","0","0","3668"
"Holt","0","0","0","0","1671"
"Howard","0","0","0","0","3872"
"Howell","0","0","0","0","13298"
"Iron","0","0","0","0","3072"
"Jackson","1","0","0","0","130597"
"Jasper","0","0","0","0","34699"
"Jefferson","0","0","0","1","79438"
"Johnson","0","0","0","0","15672"
"Kansas City","0","0","0","0","86004"
"Knox","0","0","0","0","1366"
"Laclede","0","0","0","0","11351"
"Lafayette","0","0","0","0","12030"
"Lawrence","0","0","0","0","12561"
"Lewis","0","0","0","0","3152"
"Lincoln","0","0","0","0","19873"
"Linn","0","0","0","0","4131"
"Livingston","0","0","0","0","4743"
"Macon","0","0","0","0","5588"
"Madison","0","0","0","0","3720"
